,name
0,Achieve+Academy--Oakland+Unified--0161259-0111476
1,ACORN+Woodland+Eleme--Oakland+Unified--0161259-6002273
2,Allendale+Elementary--Oakland+Unified--0161259-6001630
3,Alliance+Academy--Oakland+Unified--0161259-0112771
4,American+Indian+Publ--Oakland+Unified--0161259-6113807
5,American+Indian+Publ--Oakland+Unified--0161259-0114363
6,American+Indian+Publ--Oakland+Unified--0161259-0111856
7,ARISE+High--Oakland+Unified--0161259-0115238
8,ASCEND--Oakland+Unified--0161259-6118608
9,Aspire+Berkley+Mayna--Oakland+Unified--0161259-0109819
10,Aspire+College+Acade--Oakland+Unified--0161259-0128413
11,Aspire+ERES+Academy--Oakland+Unified--0161259-0120188
12,Aspire+Golden+State--Oakland+Unified--0161259-0118224
13,Aspire+Lionel+Wilson--Oakland+Unified--0161259-0130666
14,Aspire+Monarch+Acade--Oakland+Unified--0161259-6117568
15,Aspire+Triumph+Techn--Oakland+Unified--0161259-0130732
16,Bay+Area+Technology--Oakland+Unified--0161259-0106906
17,Bella+Vista+Elementa--Oakland+Unified--0161259-6001655
18,Bret+Harte+Middle--Oakland+Unified--0161259-6056998
19,Bridges+Academy--Oakland+Unified--0161259-6002075
20,Brookfield+Elementar--Oakland+Unified--0161259-6001663
21,Burckhalter+Elementa--Oakland+Unified--0161259-6001689
22,Carl+B%2E+Munck+Elemen--Oakland+Unified--0161259-6001697
23,Castlemont+High--Oakland+Unified--0161259-0125161
24,Castlemont+Junior+Ac--Oakland+Unified--0161259-0131946
25,Castlemont+Primary+A--Oakland+Unified--0161259-0131672
26,Chabot+Elementary--Oakland+Unified--0161259-6001648
27,Civicorps+Corpsmembe--Oakland+Unified--0161259-0115386
28,Claremont+Middle--Oakland+Unified--0161259-6057004
29,Cleveland+Elementary--Oakland+Unified--0161259-6001739
30,Coliseum+College+Pre--Oakland+Unified--0161259-0112797
31,Community+Day+High--Oakland+Unified--0161259-0106542
32,Community+Day+Middle--Oakland+Unified--0161259-0106559
33,Community+United+Ele--Oakland+Unified--0161259-0115204
34,Conservatory+of+Voca--Oakland+Unified--0161259-0114454
35,Conservatory+of+Voca--Oakland+Unified--0161259-0132555
36,Crocker+Highlands+El--Oakland+Unified--0161259-6001754
37,Dewey+Academy--Oakland+Unified--0161259-0132688
38,Downtown+Charter+Aca--Oakland+Unified--0161259-0129635
39,East+Bay+Innovation--Oakland+Unified--0161259-0129932
40,East+Oakland+Leaders--Oakland+Unified--0161259-0100123
41,East+Oakland+Pride+E--Oakland+Unified--0161259-0115600
42,Edna+Brewer+Middle--Oakland+Unified--0161259-6057061
43,Elmhurst+Community+P--Oakland+Unified--0161259-0112789
44,Emerson+Elementary--Oakland+Unified--0161259-6001812
45,EnCompass+Academy+El--Oakland+Unified--0161259-0102988
46,Epic+Charter--Oakland+Unified--0161259-0129403
47,Esperanza+Elementary--Oakland+Unified--0161259-6002190
48,Francophone+Charter--Oakland+Unified--0161259-0132514
49,Franklin+Elementary--Oakland+Unified--0161259-6001820
50,Fred+T%2E+Korematsu+Di--Oakland+Unified--0161259-0112813
51,Fremont+High--Oakland+Unified--0161259-0125716
52,Frick+Middle--Oakland+Unified--0161259-6057020
53,Fruitvale+Elementary--Oakland+Unified--0161259-6001838
54,Futures+Elementary--Oakland+Unified--0161259-0115576
55,Garfield+Elementary--Oakland+Unified--0161259-6001846
56,Gateway+to+College+a--Oakland+Unified--0161259-0119859
57,Glenview+Elementary--Oakland+Unified--0161259-6001853
58,Global+Family--Oakland+Unified--0161259-0115584
59,Grass+Valley+Element--Oakland+Unified--0161259-6001879
60,Greenleaf+Elementary--Oakland+Unified--0161259-0115618
61,Hillcrest+Elementary--Oakland+Unified--0161259-6001911
62,Home+and+Hospital+Pr--Oakland+Unified--0161259-0121376
63,Hoover+Elementary--Oakland+Unified--0161259-6057046
64,Horace+Mann+Elementa--Oakland+Unified--0161259-6001929
65,Howard+Elementary--Oakland+Unified--0161259-6001713
66,Independent+Study%2C+S--Oakland+Unified--0161259-6114011
67,International+Commun--Oakland+Unified--0161259-6118616
68,Joaquin+Miller+Eleme--Oakland+Unified--0161259-6001945
69,Kaiser+Elementary--Oakland+Unified--0161259-6001895
70,KIPP+Bridge+Academy--Oakland+Unified--0161259-0115014
71,La+Escuelita+Element--Oakland+Unified--0161259-6096523
72,Lafayette+Elementary--Oakland+Unified--0161259-6001978
73,Laurel+Elementary--Oakland+Unified--0161259-6001994
74,Learning+Without+Lim--Oakland+Unified--0161259-0115592
75,LIFE+Academy--Oakland+Unified--0161259-0130575
76,Lighthouse+Community--Oakland+Unified--0161259-0130633
77,Lighthouse+Community--Oakland+Unified--0161259-0108944
78,Lincoln+Elementary--Oakland+Unified--0161259-6002018
79,LPS+Oakland+R+%26+D+Ca--Oakland+Unified--0161259-0126748
80,Madison+Park+Academy--Oakland+Unified--0161259-6066450
81,Madison+Park+Academy--Oakland+Unified--0161259-6002182
82,Manzanita+Community--Oakland+Unified--0161259-6002042
83,Manzanita+SEED+Eleme--Oakland+Unified--0161259-0110247
84,Markham+Elementary--Oakland+Unified--0161259-6002059
85,Martin+Luther+King%2C--Oakland+Unified--0161259-6072235
86,McClymonds+High--Oakland+Unified--0161259-0110189
87,Melrose+Leadership+A--Oakland+Unified--0161259-6118640
88,MetWest+High--Oakland+Unified--0161259-0100701
89,Montclair+Elementary--Oakland+Unified--0161259-6002083
90,Montera+Middle--Oakland+Unified--0161259-6057079
91,New+Highland+Academy--Oakland+Unified--0161259-6001903
92,Nonpublic%2C+Nonsectar--Oakland+Unified--0161259-0000001
93,North+Oakland+Commun--Oakland+Unified--0161259-6117972
94,Oakland+Charter+Acad--Oakland+Unified--0161259-6111660
95,Oakland+Charter+High--Oakland+Unified--0161259-0114868
96,Oakland+High--Oakland+Unified--0161259-0135905
97,Oakland+Internationa--Oakland+Unified--0161259-0115667
98,Oakland+Military+Ins--Oakland+Unified--0161259-0130617
99,Oakland+School+for+t--Oakland+Unified--0161259-3030772
100,Oakland+Technical+Hi--Oakland+Unified--0161259-0136051
101,Oakland+Unity+High--Oakland+Unified--0161259-0100065
102,Parker+Elementary--Oakland+Unified--0161259-6002091
103,Peralta+Elementary--Oakland+Unified--0161259-6002109
104,Piedmont+Avenue+Elem--Oakland+Unified--0161259-6002117
105,Preparatory+Literary--Oakland+Unified--0161259-6002125
106,Ralph+J%2E+Bunche+High--Oakland+Unified--0161259-0118653
107,Reach+Academy--Oakland+Unified--0161259-0110239
