Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,black_susp_rate
Achieve Academy,2014-15,African American,36,0,0.0
ACORN Woodland Elementary,2014-15,African American,29,9,0.310344827586207
Allendale Elementary,2014-15,African American,129,0,0.0
Alliance Academy,2014-15,African American,90,21,0.233333333333333
American Indian Public High,2014-15,African American,31,0,0.0
American Indian Public Charter,2014-15,African American,25,0,0.0
Aspire Berkley Maynard Academy,2014-15,African American,242,36,0.148760330578512
Aspire College Academy,2014-15,African American,72,13,0.180555555555556
Aspire Golden State College Preparatory Academy,2014-15,African American,94,19,0.202127659574468
Aspire Lionel Wilson College Preparatory Academy,2014-15,African American,14,1,0.0714285714285714
Aspire Monarch Academy,2014-15,African American,17,3,0.176470588235294
Aspire Triumph Technology Academy,2014-15,African American,174,60,0.344827586206897
Bay Area Technology,2014-15,African American,131,3,0.0229007633587786
Bella Vista Elementary,2014-15,African American,145,7,0.0482758620689655
Bret Harte Middle,2014-15,African American,210,42,0.2
Bridges Academy,2014-15,African American,22,0,0.0
Brookfield Elementary,2014-15,African American,99,5,0.0505050505050505
Burckhalter Elementary,2014-15,African American,211,1,0.004739336492891
Carl B. Munck Elementary,2014-15,African American,180,5,0.0277777777777778
Castlemont High,2014-15,African American,263,41,0.155893536121673
Chabot Elementary,2014-15,African American,59,0,0.0
Civicorps Corpsmember Academy,2014-15,African American,91,0,0.0
Claremont Middle,2014-15,African American,236,43,0.182203389830508
Cleveland Elementary,2014-15,African American,90,2,0.0222222222222222
Coliseum College Prep Academy,2014-15,African American,61,2,0.0327868852459016
Community United Elementary,2014-15,African American,112,11,0.0982142857142857
Crocker Highlands Elementary,2014-15,African American,55,0,0.0
Dewey Academy,2014-15,African American,163,0,0.0
East Bay Innovation Academy,2014-15,African American,34,3,0.0882352941176471
East Oakland Pride Elementary,2014-15,African American,137,11,0.0802919708029197
Edna Brewer Middle,2014-15,African American,245,5,0.0204081632653061
Emerson Elementary,2014-15,African American,183,4,0.0218579234972678
EnCompass Academy Elementary,2014-15,African American,65,1,0.0153846153846154
Epic Charter,2014-15,African American,19,0,0.0
Franklin Elementary,2014-15,African American,134,0,0.0
Fred T. Korematsu Discovery Academy,2014-15,African American,86,6,0.0697674418604651
Fremont High,2014-15,African American,236,56,0.23728813559322
Frick Middle,2014-15,African American,163,69,0.423312883435583
Fruitvale Elementary,2014-15,African American,149,15,0.100671140939597
