Name,school_year,black_kids_suspended,black_enrollment,black_susp_rate,white_kids_suspended,white_enrollment,white_susp_rate,disparity,difference_disparity
Claremont Middle,2018-19,14,144,0.0972222222222222,1,172,0.00581395348837209,16.7222222222222,0.0914082687338501
Edna Brewer Middle,2018-19,14,209,0.0669856459330144,2,176,0.0113636363636364,5.89473684210525,0.055622009569378
Montera Middle,2018-19,38,250,0.152,5,177,0.0282485875706215,5.38079999999999,0.123751412429378
Bret Harte Middle,2018-19,51,239,0.213389121338912,2,45,0.0444444444444444,4.80125523012553,0.168944676894468
Lighthouse Community Charter,2018-19,13,56,0.232142857142857,1,18,0.0555555555555556,4.17857142857142,0.176587301587301
East Bay Innovation Academy,2018-19,14,121,0.115702479338843,5,175,0.0285714285714286,4.0495867768595,0.0871310507674144
Fremont High,2018-19,41,200,0.205,1,19,0.0526315789473684,3.895,0.152368421052632
Oakland Technical High,2018-19,33,566,0.0583038869257951,8,526,0.0152091254752852,3.83348056537102,0.0430947614505099
"Oakland Military Institute, College Preparatory Academy",2018-19,30,144,0.208333333333333,2,20,0.1,2.08333333333333,0.108333333333333
Oakland School for the Arts,2018-19,4,130,0.0307692307692308,4,264,0.0151515151515152,2.03076923076923,0.0156177156177156
Hillcrest Elementary,2018-19,1,35,0.0285714285714286,3,211,0.014218009478673,2.00952380952381,0.0143534190927556
Greenleaf Elementary,2018-19,6,60,0.1,1,19,0.0526315789473684,1.9,0.0473684210526316
Lodestar: A Lighthouse Community Charter Public,2018-19,17,124,0.137096774193548,1,12,0.0833333333333333,1.64516129032258,0.0537634408602147
Kaiser Elementary,2018-19,2,66,0.0303030303030303,2,102,0.0196078431372549,1.54545454545455,0.0106951871657754
McClymonds High,2018-19,55,349,0.157593123209169,2,18,0.111111111111111,1.41833810888252,0.046482012098058
KIPP Bridge Academy,2018-19,40,304,0.131578947368421,7,68,0.102941176470588,1.27819548872181,0.028637770897833
Oakland High,2018-19,50,430,0.116279069767442,3,30,0.1,1.16279069767442,0.016279069767442
American Indian Public High,2018-19,11,101,0.108910891089109,4,24,0.166666666666667,0.653465346534653,-0.057755775577558
Bay Area Technology,2018-19,16,118,0.135593220338983,4,18,0.222222222222222,0.610169491525424,-0.086629001883239
Fruitvale Elementary,2018-19,4,108,0.037037037037037,1,15,0.0666666666666667,0.555555555555555,-0.0296296296296297
American Indian Public Charter II,2018-19,7,272,0.0257352941176471,5,42,0.119047619047619,0.216176470588236,-0.0933123249299719
Fred T. Korematsu Discovery Academy,2018-19,1,58,0.0172413793103448,1,11,0.0909090909090909,0.189655172413793,-0.0736677115987461
Montclair Elementary,2018-19,0,99,0.0,2,280,0.00714285714285714,0.0,-0.00714285714285714
Thornhill Elementary,2018-19,0,41,0.0,2,194,0.0103092783505155,0.0,-0.0103092783505155
Oakland International High,2018-19,0,27,0.0,1,21,0.0476190476190476,0.0,-0.0476190476190476
West Oakland Middle,2018-19,48,132,0.363636363636364,0,16,0.0,,0.363636363636364
North Oakland Community Charter,2018-19,8,58,0.137931034482759,0,35,0.0,,0.137931034482759
Roosevelt Middle,2018-19,14,117,0.11965811965812,0,14,0.0,,0.11965811965812
Laurel Elementary,2018-19,22,187,0.117647058823529,0,29,0.0,,0.117647058823529
Skyline High,2018-19,48,569,0.0843585237258348,0,142,0.0,,0.0843585237258348
Hoover Elementary,2018-19,8,101,0.0792079207920792,0,19,0.0,,0.0792079207920792
Vincent Academy,2018-19,13,169,0.0769230769230769,0,24,0.0,,0.0769230769230769
Lincoln Elementary,2018-19,4,55,0.0727272727272727,0,34,0.0,,0.0727272727272727
Aspire Berkley Maynard Academy,2018-19,17,341,0.0498533724340176,0,30,0.0,,0.0498533724340176
Achieve Academy,2018-19,1,21,0.0476190476190476,0,17,0.0,,0.0476190476190476
La Escuelita Elementary,2018-19,4,84,0.0476190476190476,0,19,0.0,,0.0476190476190476
Manzanita SEED Elementary,2018-19,2,45,0.0444444444444444,0,43,0.0,,0.0444444444444444
Peralta Elementary,2018-19,2,49,0.0408163265306122,0,177,0.0,,0.0408163265306122
Emerson Elementary,2018-19,6,178,0.0337078651685393,0,40,0.0,,0.0337078651685393
"Martin Luther King, Jr. Elementary",2018-19,7,217,0.032258064516129,0,36,0.0,,0.032258064516129
Bella Vista Elementary,2018-19,3,114,0.0263157894736842,0,23,0.0,,0.0263157894736842
Melrose Leadership Academy,2018-19,1,41,0.024390243902439,0,95,0.0,,0.024390243902439
Garfield Elementary,2018-19,3,136,0.0220588235294118,0,25,0.0,,0.0220588235294118
Allendale Elementary,2018-19,3,139,0.0215827338129496,0,16,0.0,,0.0215827338129496
Franklin Elementary,2018-19,2,100,0.02,0,18,0.0,,0.02
EnCompass Academy Elementary,2018-19,1,66,0.0151515151515152,0,13,0.0,,0.0151515151515152
Joaquin Miller Elementary,2018-19,1,84,0.0119047619047619,0,170,0.0,,0.0119047619047619
Glenview Elementary,2018-19,1,89,0.0112359550561798,0,190,0.0,,0.0112359550561798
Carl B. Munck Elementary,2018-19,0,137,0.0,0,15,0.0,,0.0
Chabot Elementary,2018-19,0,49,0.0,0,304,0.0,,0.0
Cleveland Elementary,2018-19,0,71,0.0,0,85,0.0,,0.0
Crocker Highlands Elementary,2018-19,0,40,0.0,0,278,0.0,,0.0
Francophone Charter School of Oakland,2018-19,0,37,0.0,0,86,0.0,,0.0
Gateway to College at Laney College,2018-19,0,36,0.0,0,12,0.0,,0.0
"Independent Study, Sojourner Truth",2018-19,0,89,0.0,0,25,0.0,,0.0
"Nonpublic, Nonsectarian Schools",2018-19,0,90,0.0,0,38,0.0,,0.0
Piedmont Avenue Elementary,2018-19,0,184,0.0,0,37,0.0,,0.0
Redwood Heights Elementary,2018-19,0,78,0.0,0,147,0.0,,0.0
Sequoia Elementary,2018-19,0,78,0.0,0,131,0.0,,0.0
Young Adult Program,2018-19,0,76,0.0,0,13,0.0,,0.0
Montera Middle,2017-18,65,299,0.217391304347826,5,197,0.0253807106598985,8.56521739130434,0.192010593687927
Glenview Elementary,2017-18,4,101,0.0396039603960396,1,185,0.00540540540540541,7.32673267326732,0.0341985549906342
Bret Harte Middle,2017-18,26,215,0.12093023255814,1,44,0.0227272727272727,5.32093023255817,0.0982029598308673
Fremont High,2017-18,44,189,0.232804232804233,1,20,0.05,4.65608465608466,0.182804232804233
North Oakland Community Charter,2017-18,15,72,0.208333333333333,3,66,0.0454545454545455,4.58333333333332,0.162878787878788
Manzanita SEED Elementary,2017-18,5,54,0.0925925925925926,1,45,0.0222222222222222,4.16666666666667,0.0703703703703704
McClymonds High,2017-18,71,358,0.198324022346369,1,21,0.0476190476190476,4.16480446927375,0.150704974727321
Claremont Middle,2017-18,12,165,0.0727272727272727,3,153,0.0196078431372549,3.70909090909091,0.0531194295900178
West Oakland Middle,2017-18,58,144,0.402777777777778,2,18,0.111111111111111,3.62500000000001,0.291666666666667
Oakland Technical High,2017-18,24,606,0.0396039603960396,6,501,0.0119760479041916,3.30693069306931,0.027627912491848
Oakland High,2017-18,47,454,0.10352422907489,1,28,0.0357142857142857,2.89867841409692,0.0678099433606043
Edna Brewer Middle,2017-18,14,219,0.0639269406392694,3,136,0.0220588235294118,2.89802130898021,0.0418681171098576
ROOTS International Academy,2017-18,22,109,0.201834862385321,1,12,0.0833333333333333,2.42201834862385,0.118501529051988
Lighthouse Community Charter,2017-18,6,57,0.105263157894737,1,16,0.0625,1.68421052631579,0.042763157894737
American Indian Public High,2017-18,8,81,0.0987654320987654,1,15,0.0666666666666667,1.48148148148148,0.0320987654320987
Franklin Elementary,2017-18,9,112,0.0803571428571429,1,16,0.0625,1.28571428571429,0.0178571428571429
Oakland School for the Arts,2017-18,4,134,0.0298507462686567,7,285,0.0245614035087719,1.21535181236674,0.0052893427598848
Westlake Middle,2017-18,35,215,0.162790697674419,3,18,0.166666666666667,0.976744186046512,-0.00387596899224799
Lodestar: A Lighthouse Community Charter Public,2017-18,13,93,0.139784946236559,3,19,0.157894736842105,0.885304659498208,-0.018109790605546
American Indian Public Charter II,2017-18,9,196,0.0459183673469388,1,18,0.0555555555555556,0.826530612244898,-0.0096371882086168
KIPP Bridge Academy,2017-18,28,341,0.0821114369501466,8,64,0.125,0.656891495601173,-0.0428885630498534
MetWest High,2017-18,2,33,0.0606060606060606,2,12,0.166666666666667,0.363636363636363,-0.106060606060606
Oakland International High,2017-18,1,26,0.0384615384615385,4,32,0.125,0.307692307692308,-0.0865384615384615
Montclair Elementary,2017-18,0,95,0.0,1,278,0.00359712230215827,0.0,-0.00359712230215827
Hillcrest Elementary,2017-18,0,28,0.0,1,228,0.0043859649122807,0.0,-0.0043859649122807
Chabot Elementary,2017-18,0,53,0.0,2,317,0.00630914826498423,0.0,-0.00630914826498423
Redwood Heights Elementary,2017-18,0,70,0.0,1,154,0.00649350649350649,0.0,-0.00649350649350649
MLK / Lafayette Elementary,2017-18,28,113,0.247787610619469,0,12,0.0,,0.247787610619469
Skyline High,2017-18,110,618,0.177993527508091,0,139,0.0,,0.177993527508091
Achieve Academy,2017-18,3,20,0.15,0,18,0.0,,0.15
Laurel Elementary,2017-18,25,215,0.116279069767442,0,24,0.0,,0.116279069767442
Roosevelt Middle,2017-18,10,105,0.0952380952380952,0,14,0.0,,0.0952380952380952
Aspire Berkley Maynard Academy,2017-18,29,318,0.0911949685534591,0,18,0.0,,0.0911949685534591
Garfield Elementary,2017-18,10,120,0.0833333333333333,0,15,0.0,,0.0833333333333333
Emerson Elementary,2017-18,14,171,0.0818713450292398,0,46,0.0,,0.0818713450292398
La Escuelita Elementary,2017-18,6,75,0.08,0,14,0.0,,0.08
"Oakland Military Institute, College Preparatory Academy",2017-18,10,150,0.0666666666666667,0,28,0.0,,0.0666666666666667
Peralta Elementary,2017-18,3,51,0.0588235294117647,0,186,0.0,,0.0588235294117647
"Martin Luther King, Jr. Elementary",2017-18,9,180,0.05,0,27,0.0,,0.05
Hoover Elementary,2017-18,6,137,0.0437956204379562,0,25,0.0,,0.0437956204379562
Kaiser Elementary,2017-18,3,70,0.0428571428571429,0,103,0.0,,0.0428571428571429
Lincoln Elementary,2017-18,2,52,0.0384615384615385,0,25,0.0,,0.0384615384615385
Fruitvale Elementary,2017-18,4,105,0.0380952380952381,0,18,0.0,,0.0380952380952381
Sequoia Elementary,2017-18,3,90,0.0333333333333333,0,134,0.0,,0.0333333333333333
EnCompass Academy Elementary,2017-18,2,61,0.0327868852459016,0,13,0.0,,0.0327868852459016
Bella Vista Elementary,2017-18,3,99,0.0303030303030303,0,23,0.0,,0.0303030303030303
Allendale Elementary,2017-18,2,117,0.0170940170940171,0,16,0.0,,0.0170940170940171
Cleveland Elementary,2017-18,1,75,0.0133333333333333,0,82,0.0,,0.0133333333333333
Carl B. Munck Elementary,2017-18,2,156,0.0128205128205128,0,13,0.0,,0.0128205128205128
