Name,school_year,black_kids_suspended,black_enrollment,black_susp_rate,white_kids_suspended,white_enrollment,white_susp_rate,disparity,difference_disparity
Achieve Academy,2018-19,1,21,0.0476190476190476,0,17,0.0,,0.0476190476190476
Achieve Academy,2014-15,0,36,0.0,0,18,0.0,,0.0
Allendale Elementary,2018-19,3,139,0.0215827338129496,0,16,0.0,,0.0215827338129496
Allendale Elementary,2014-15,0,129,0.0,0,22,0.0,,0.0
American Indian Public Charter II,2018-19,7,272,0.0257352941176471,5,42,0.119047619047619,0.216176470588236,-0.0933123249299719
American Indian Public High,2018-19,11,101,0.108910891089109,4,24,0.166666666666667,0.653465346534653,-0.057755775577558
Aspire Berkley Maynard Academy,2018-19,17,341,0.0498533724340176,0,30,0.0,,0.0498533724340176
Bay Area Technology,2018-19,16,118,0.135593220338983,4,18,0.222222222222222,0.610169491525424,-0.086629001883239
Bay Area Technology,2014-15,3,131,0.0229007633587786,0,28,0.0,,0.0229007633587786
Bella Vista Elementary,2018-19,3,114,0.0263157894736842,0,23,0.0,,0.0263157894736842
Bella Vista Elementary,2014-15,7,145,0.0482758620689655,0,24,0.0,,0.0482758620689655
Bret Harte Middle,2018-19,51,239,0.213389121338912,2,45,0.0444444444444444,4.80125523012553,0.168944676894468
Bret Harte Middle,2014-15,42,210,0.2,1,38,0.0263157894736842,7.6,0.173684210526316
Carl B. Munck Elementary,2018-19,0,137,0.0,0,15,0.0,,0.0
Carl B. Munck Elementary,2014-15,5,180,0.0277777777777778,0,16,0.0,,0.0277777777777778
Chabot Elementary,2018-19,0,49,0.0,0,304,0.0,,0.0
Chabot Elementary,2014-15,0,59,0.0,0,353,0.0,,0.0
Claremont Middle,2018-19,14,144,0.0972222222222222,1,172,0.00581395348837209,16.7222222222222,0.0914082687338501
Claremont Middle,2014-15,43,236,0.182203389830508,0,83,0.0,,0.182203389830508
Cleveland Elementary,2018-19,0,71,0.0,0,85,0.0,,0.0
Cleveland Elementary,2014-15,2,90,0.0222222222222222,0,56,0.0,,0.0222222222222222
Crocker Highlands Elementary,2018-19,0,40,0.0,0,278,0.0,,0.0
Crocker Highlands Elementary,2014-15,0,55,0.0,0,257,0.0,,0.0
Dewey Academy,2014-15,0,163,0.0,0,11,0.0,,0.0
East Bay Innovation Academy,2018-19,14,121,0.115702479338843,5,175,0.0285714285714286,4.0495867768595,0.0871310507674144
East Bay Innovation Academy,2014-15,3,34,0.0882352941176471,5,84,0.0595238095238095,1.48235294117647,0.0287114845938376
Edna Brewer Middle,2018-19,14,209,0.0669856459330144,2,176,0.0113636363636364,5.89473684210525,0.055622009569378
Edna Brewer Middle,2014-15,5,245,0.0204081632653061,0,107,0.0,,0.0204081632653061
Emerson Elementary,2018-19,6,178,0.0337078651685393,0,40,0.0,,0.0337078651685393
Emerson Elementary,2014-15,4,183,0.0218579234972678,0,44,0.0,,0.0218579234972678
EnCompass Academy Elementary,2018-19,1,66,0.0151515151515152,0,13,0.0,,0.0151515151515152
EnCompass Academy Elementary,2014-15,1,65,0.0153846153846154,0,16,0.0,,0.0153846153846154
Francophone Charter School of Oakland,2018-19,0,37,0.0,0,86,0.0,,0.0
Franklin Elementary,2018-19,2,100,0.02,0,18,0.0,,0.02
Franklin Elementary,2014-15,0,134,0.0,0,23,0.0,,0.0
Fred T. Korematsu Discovery Academy,2018-19,1,58,0.0172413793103448,1,11,0.0909090909090909,0.189655172413793,-0.0736677115987461
Fred T. Korematsu Discovery Academy,2014-15,6,86,0.0697674418604651,0,14,0.0,,0.0697674418604651
Fremont High,2018-19,41,200,0.205,1,19,0.0526315789473684,3.895,0.152368421052632
Fremont High,2014-15,56,236,0.23728813559322,1,15,0.0666666666666667,3.5593220338983,0.170621468926553
Fruitvale Elementary,2018-19,4,108,0.037037037037037,1,15,0.0666666666666667,0.555555555555555,-0.0296296296296297
Fruitvale Elementary,2014-15,15,149,0.100671140939597,1,30,0.0333333333333333,3.02013422818791,0.0673378076062637
Futures Elementary,2014-15,18,173,0.104046242774566,0,12,0.0,,0.104046242774566
Garfield Elementary,2018-19,3,136,0.0220588235294118,0,25,0.0,,0.0220588235294118
Garfield Elementary,2014-15,5,105,0.0476190476190476,0,17,0.0,,0.0476190476190476
Gateway to College at Laney College,2018-19,0,36,0.0,0,12,0.0,,0.0
Glenview Elementary,2018-19,1,89,0.0112359550561798,0,190,0.0,,0.0112359550561798
Glenview Elementary,2014-15,0,107,0.0,0,165,0.0,,0.0
Greenleaf Elementary,2018-19,6,60,0.1,1,19,0.0526315789473684,1.9,0.0473684210526316
Greenleaf Elementary,2014-15,2,80,0.025,0,15,0.0,,0.025
Hillcrest Elementary,2018-19,1,35,0.0285714285714286,3,211,0.014218009478673,2.00952380952381,0.0143534190927556
Hillcrest Elementary,2014-15,0,31,0.0,1,207,0.00483091787439614,0.0,-0.00483091787439614
Hoover Elementary,2018-19,8,101,0.0792079207920792,0,19,0.0,,0.0792079207920792
Hoover Elementary,2014-15,11,174,0.0632183908045977,0,14,0.0,,0.0632183908045977
Horace Mann Elementary,2014-15,1,185,0.00540540540540541,0,11,0.0,,0.00540540540540541
