Name,school_year,Ethnicity,suspensions_number,total_enrolled,susp_rate,grades,Address,Latitude,Longitude,AccuracyScore,AccuracyType,Number,Street,UnitType,UnitNumber,City,State,County,Zip,Country,Source
ACORN Woodland Elementary,2014-15,All,18,297,6.060606061,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778,1,range_interpolation,1025,81st Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
ACORN Woodland Elementary,2015-16,All,0,293,0,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778,1,range_interpolation,1025,81st Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
ACORN Woodland Elementary,2016-17,All,4,299,1.337792642,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778,1,range_interpolation,1025,81st Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
ACORN Woodland Elementary,2017-18,All,1,293,0.341296928,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778,1,range_interpolation,1025,81st Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
ACORN Woodland Elementary,2018-19,All,0,282,0,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778,1,range_interpolation,1025,81st Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
ARISE High,2014-15,All,9,178,5.056179775,9th - 12th,"3301 E 12th St # 205, Oakland, CA 94601, USA",37.77567,-122.224682,1,rooftop,3301,E 12th St,Ste,205,Oakland,CA,Alameda County,94601,US,Alameda
ARISE High,2015-16,All,12,252,4.761904762,9th - 12th,"3301 E 12th St # 205, Oakland, CA 94601, USA",37.77567,-122.224682,1,rooftop,3301,E 12th St,Ste,205,Oakland,CA,Alameda County,94601,US,Alameda
ARISE High,2016-17,All,17,253,6.719367589,9th - 12th,"3301 E 12th St # 205, Oakland, CA 94601, USA",37.77567,-122.224682,1,rooftop,3301,E 12th St,Ste,205,Oakland,CA,Alameda County,94601,US,Alameda
ARISE High,2017-18,All,10,269,3.717472119,9th - 12th,"3301 E 12th St # 205, Oakland, CA 94601, USA",37.77567,-122.224682,1,rooftop,3301,E 12th St,Ste,205,Oakland,CA,Alameda County,94601,US,Alameda
ARISE High,2018-19,All,16,305,5.245901639,9th - 12th,"3301 E 12th St # 205, Oakland, CA 94601, USA",37.77567,-122.224682,1,rooftop,3301,E 12th St,Ste,205,Oakland,CA,Alameda County,94601,US,Alameda
Achieve Academy,2014-15,All,4,781,0.512163892,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
Achieve Academy,2015-16,All,19,769,2.470741222,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
Achieve Academy,2016-17,All,18,766,2.349869452,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
Achieve Academy,2017-18,All,11,692,1.589595376,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
Achieve Academy,2018-19,All,10,662,1.510574018,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
Allendale Elementary,2014-15,All,0,409,0,K-5,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092,1,range_interpolation,3670,Penniman Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
Allendale Elementary,2015-16,All,0,395,0,K-5,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092,1,range_interpolation,3670,Penniman Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
Allendale Elementary,2016-17,All,0,384,0,K-5,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092,1,range_interpolation,3670,Penniman Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
Allendale Elementary,2017-18,All,2,375,0.533333333,K-5,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092,1,range_interpolation,3670,Penniman Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
Allendale Elementary,2018-19,All,3,452,0.663716814,K-5,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092,1,range_interpolation,3670,Penniman Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
Alliance Academy,2014-15,All,54,419,12.88782816,6th - 8th,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175,1,rooftop,1800,98th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
Alliance Academy,2015-16,All,77,391,19.69309463,6th - 8th,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175,1,rooftop,1800,98th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
Alliance Academy,2016-17,All,44,355,12.3943662,6th - 8th,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175,1,rooftop,1800,98th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
Alliance Academy,2017-18,All,22,372,5.913978495,6th - 8th,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175,1,rooftop,1800,98th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
Alliance Academy,2018-19,All,29,324,8.950617284,6th - 8th,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175,1,rooftop,1800,98th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
American Indian Public Charter,2014-15,All,0,181,0,5th - 8th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
American Indian Public Charter,2016-17,All,1,644,0.155279503,5th - 8th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
American Indian Public Charter,2017-18,All,7,137,5.109489051,5th - 8th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
American Indian Public Charter,2018-19,All,6,154,3.896103896,5th - 8th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
American Indian Public Charter II,2017-18,All,19,673,2.823179792,K-8,"171 12th St, Oakland, CA 94607, USA",37.800101,-122.265497,1,rooftop,171,12th St,,,Oakland,CA,Alameda County,94607,US,Alameda
American Indian Public Charter II,2018-19,All,29,802,3.6159601,K-8,"171 12th St, Oakland, CA 94607, USA",37.800101,-122.265497,1,rooftop,171,12th St,,,Oakland,CA,Alameda County,94607,US,Alameda
American Indian Public High,2014-15,All,0,206,0,9th - 12th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
American Indian Public High,2015-16,All,2,226,0.884955752,9th - 12th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
American Indian Public High,2016-17,All,16,258,6.201550388,9th - 12th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
American Indian Public High,2017-18,All,23,367,6.267029973,9th - 12th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
American Indian Public High,2018-19,All,22,419,5.250596659,9th - 12th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
Aspire Berkley Maynard Academy,2014-15,All,51,551,9.255898367,K-8,"6200 San Pablo Ave, Oakland, CA 94608, USA",37.844916,-122.284699,0.7,nearest_rooftop_match,6211,San Pablo Ave,,,Emeryville,CA,Alameda County,94608,US,Alameda
Aspire Berkley Maynard Academy,2015-16,All,17,529,3.213610586,K-8,"6200 San Pablo Ave, Oakland, CA 94608, USA",37.844916,-122.284699,0.7,nearest_rooftop_match,6211,San Pablo Ave,,,Emeryville,CA,Alameda County,94608,US,Alameda
Aspire Berkley Maynard Academy,2016-17,All,25,528,4.734848485,K-8,"6200 San Pablo Ave, Oakland, CA 94608, USA",37.844916,-122.284699,0.7,nearest_rooftop_match,6211,San Pablo Ave,,,Emeryville,CA,Alameda County,94608,US,Alameda
Aspire Berkley Maynard Academy,2017-18,All,33,570,5.789473684,K-8,"6200 San Pablo Ave, Oakland, CA 94608, USA",37.844916,-122.284699,0.7,nearest_rooftop_match,6211,San Pablo Ave,,,Emeryville,CA,Alameda County,94608,US,Alameda
Aspire Berkley Maynard Academy,2018-19,All,21,595,3.529411765,K-8,"6200 San Pablo Ave, Oakland, CA 94608, USA",37.844916,-122.284699,0.7,nearest_rooftop_match,6211,San Pablo Ave,,,Emeryville,CA,Alameda County,94608,US,Alameda
