Name,school_year,type,grades,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,cumulative_suspensions,SuspensionRate,suspended_rate,PercentofStudentsSuspendedwithOneSuspension,PercentofStudentsSuspendedwithMultipleSuspensions,total_enrollment,TotalSuspensions,ViolentIncidentwithInjury,ViolentIncidentwithnoinjury,WeaponsPossession,IllicitDrugRelated,DefianceOnly,OtherReasons,Address,Latitude,Longitude
Achieve Academy,2014-15,charter,TK-5,African American,36,0,0,0,0.0,0,0,799,7,0,2,0,0,0,5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Achieve Academy,2014-15,charter,TK-5,American Indian or Alaska Native,*,*,*,*,,*,*,799,7,0,2,0,0,0,5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Achieve Academy,2014-15,charter,TK-5,Asian,15,0,0,0,0.0,0,0,799,7,0,2,0,0,0,5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Achieve Academy,2014-15,charter,TK-5,Filipino,12,0,0,0,0.0,0,0,799,7,0,2,0,0,0,5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Achieve Academy,2014-15,charter,TK-5,Hispanic or Latino,700,4,6,0.01,0.00571428571428571,0.75,0.25,799,7,0,2,0,0,0,5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Achieve Academy,2014-15,charter,TK-5,Pacific Islander,*,*,*,*,,*,*,799,7,0,2,0,0,0,5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Achieve Academy,2014-15,charter,TK-5,White,18,0,0,0,0.0,0,0,799,7,0,2,0,0,0,5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Achieve Academy,2014-15,charter,TK-5,Two or More Races,*,*,*,*,,*,*,799,7,0,2,0,0,0,5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Achieve Academy,2014-15,charter,TK-5,Not Reported,*,*,*,*,,*,*,799,7,0,2,0,0,0,5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
ACORN Woodland Elementary,2014-15,public,K-5,African American,29,9,23,0.31,0.310344827586207,0.56,0.44,309,38,7,25,0,0,0,6,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
ACORN Woodland Elementary,2014-15,public,K-5,Asian,*,*,*,*,,*,*,309,38,7,25,0,0,0,6,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
ACORN Woodland Elementary,2014-15,public,K-5,Hispanic or Latino,268,9,13,0.03,0.0335820895522388,0.78,0.22,309,38,7,25,0,0,0,6,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
ACORN Woodland Elementary,2014-15,public,K-5,Pacific Islander,*,*,*,*,,*,*,309,38,7,25,0,0,0,6,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
ACORN Woodland Elementary,2014-15,public,K-5,White,*,*,*,*,,*,*,309,38,7,25,0,0,0,6,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
ACORN Woodland Elementary,2014-15,public,K-5,Two or More Races,*,*,*,*,,*,*,309,38,7,25,0,0,0,6,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
ACORN Woodland Elementary,2014-15,public,K-5,Not Reported,*,*,*,*,,*,*,309,38,7,25,0,0,0,6,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
Allendale Elementary,2014-15,public,K-5,African American,129,0,0,0,0.0,0,0,425,0,0,0,0,0,0,0,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Allendale Elementary,2014-15,public,K-5,American Indian or Alaska Native,*,*,*,*,,*,*,425,0,0,0,0,0,0,0,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Allendale Elementary,2014-15,public,K-5,Asian,45,0,0,0,0.0,0,0,425,0,0,0,0,0,0,0,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Allendale Elementary,2014-15,public,K-5,Filipino,13,0,0,0,0.0,0,0,425,0,0,0,0,0,0,0,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Allendale Elementary,2014-15,public,K-5,Hispanic or Latino,200,0,0,0,0.0,0,0,425,0,0,0,0,0,0,0,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Allendale Elementary,2014-15,public,K-5,Pacific Islander,*,*,*,*,,*,*,425,0,0,0,0,0,0,0,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Allendale Elementary,2014-15,public,K-5,White,22,0,0,0,0.0,0,0,425,0,0,0,0,0,0,0,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Allendale Elementary,2014-15,public,K-5,Two or More Races,*,*,*,*,,*,*,425,0,0,0,0,0,0,0,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Allendale Elementary,2014-15,public,K-5,Not Reported,*,*,*,*,,*,*,425,0,0,0,0,0,0,0,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Alliance Academy,2014-15,public,6th - 8th,African American,90,21,46,0.23,0.233333333333333,0.48,0.52,438,101,18,36,3,12,31,1,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
Alliance Academy,2014-15,public,6th - 8th,American Indian or Alaska Native,*,*,*,*,,*,*,438,101,18,36,3,12,31,1,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
Alliance Academy,2014-15,public,6th - 8th,Asian,11,0,0,0,0.0,0,0,438,101,18,36,3,12,31,1,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
Alliance Academy,2014-15,public,6th - 8th,Filipino,*,*,*,*,,*,*,438,101,18,36,3,12,31,1,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
Alliance Academy,2014-15,public,6th - 8th,Hispanic or Latino,304,31,49,0.1,0.101973684210526,0.71,0.29,438,101,18,36,3,12,31,1,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
Alliance Academy,2014-15,public,6th - 8th,Pacific Islander,14,2,4,0.14,0.142857142857143,0,1,438,101,18,36,3,12,31,1,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
Alliance Academy,2014-15,public,6th - 8th,White,*,*,*,*,,*,*,438,101,18,36,3,12,31,1,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
Alliance Academy,2014-15,public,6th - 8th,Two or More Races,*,*,*,*,,*,*,438,101,18,36,3,12,31,1,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
Alliance Academy,2014-15,public,6th - 8th,Not Reported,*,*,*,*,,*,*,438,101,18,36,3,12,31,1,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
American Indian Public High,2014-15,charter,9th - 12th,African American,31,0,0,0,0.0,0,0,221,0,0,0,0,0,0,0,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public High,2014-15,charter,9th - 12th,Asian,140,0,0,0,0.0,0,0,221,0,0,0,0,0,0,0,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public High,2014-15,charter,9th - 12th,Filipino,*,*,*,*,,*,*,221,0,0,0,0,0,0,0,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public High,2014-15,charter,9th - 12th,Hispanic or Latino,35,0,0,0,0.0,0,0,221,0,0,0,0,0,0,0,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public High,2014-15,charter,9th - 12th,Pacific Islander,*,*,*,*,,*,*,221,0,0,0,0,0,0,0,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public High,2014-15,charter,9th - 12th,White,*,*,*,*,,*,*,221,0,0,0,0,0,0,0,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public High,2014-15,charter,9th - 12th,Two or More Races,*,*,*,*,,*,*,221,0,0,0,0,0,0,0,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public High,2014-15,charter,9th - 12th,Not Reported,*,*,*,*,,*,*,221,0,0,0,0,0,0,0,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public Charter,2014-15,charter,5th - 8th,African American,25,0,0,0,0.0,0,0,198,0,0,0,0,0,0,0,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
