Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,white_susp_rate
Achieve Academy,2014-15,White,18,0,0.0
Allendale Elementary,2014-15,White,22,0,0.0
Bay Area Technology,2014-15,White,28,0,0.0
Bella Vista Elementary,2014-15,White,24,0,0.0
Bret Harte Middle,2014-15,White,38,1,0.0263157894736842
Carl B. Munck Elementary,2014-15,White,16,0,0.0
Chabot Elementary,2014-15,White,353,0,0.0
Claremont Middle,2014-15,White,83,0,0.0
Cleveland Elementary,2014-15,White,56,0,0.0
Crocker Highlands Elementary,2014-15,White,257,0,0.0
Dewey Academy,2014-15,White,11,0,0.0
East Bay Innovation Academy,2014-15,White,84,5,0.0595238095238095
Edna Brewer Middle,2014-15,White,107,0,0.0
Emerson Elementary,2014-15,White,44,0,0.0
EnCompass Academy Elementary,2014-15,White,16,0,0.0
Franklin Elementary,2014-15,White,23,0,0.0
Fred T. Korematsu Discovery Academy,2014-15,White,14,0,0.0
Fremont High,2014-15,White,15,1,0.0666666666666667
Fruitvale Elementary,2014-15,White,30,1,0.0333333333333333
Futures Elementary,2014-15,White,12,0,0.0
Garfield Elementary,2014-15,White,17,0,0.0
Glenview Elementary,2014-15,White,165,0,0.0
Greenleaf Elementary,2014-15,White,15,0,0.0
Hillcrest Elementary,2014-15,White,207,1,0.00483091787439614
Hoover Elementary,2014-15,White,14,0,0.0
Horace Mann Elementary,2014-15,White,11,0,0.0
"Independent Study, Sojourner Truth",2014-15,White,11,0,0.0
Joaquin Miller Elementary,2014-15,White,221,0,0.0
Kaiser Elementary,2014-15,White,102,0,0.0
Laurel Elementary,2014-15,White,40,2,0.05
Lincoln Elementary,2014-15,White,27,1,0.037037037037037
Manzanita Community,2014-15,White,13,2,0.153846153846154
"Martin Luther King, Jr. Elementary",2014-15,White,35,0,0.0
McClymonds High,2014-15,White,16,1,0.0625
Melrose Leadership Academy,2014-15,White,41,0,0.0
Montclair Elementary,2014-15,White,301,0,0.0
Montera Middle,2014-15,White,181,3,0.0165745856353591
"Nonpublic, Nonsectarian Schools",2014-15,White,28,0,0.0
North Oakland Community Charter,2014-15,White,87,0,0.0
Oakland High,2014-15,White,32,2,0.0625
Oakland International High,2014-15,White,39,3,0.0769230769230769
"Oakland Military Institute, College Preparatory Academy",2014-15,White,21,0,0.0
Oakland School for the Arts,2014-15,White,313,4,0.012779552715655
Oakland Technical High,2014-15,White,483,8,0.0165631469979296
